# Threat Intelligence Indicator Feed
# Source: James Brine STIX dataset (converted from STIX 2.x to CSV)
# Description: This dataset contains cyber threat indicators extracted from STIX Indicator objects.
# Each row represents a single indicator associated with malicious activity such as brute-force attacks.

# Column Descriptions:
# id            : Internal numeric identifier for the indicator record generated during the STIX-to-CSV conversion process.
# indicator_id  : STIX Indicator Object ID (format: indicator--UUID). This uniquely identifies the indicator in the STIX dataset.
# indicator     : The observable value extracted from the STIX pattern. In this dataset it represents an IPv4 address used in malicious activity.
# valid_from    : Timestamp indicating when the indicator became valid or was first observed in threat intelligence.
# created       : Timestamp when the STIX indicator object was originally created.
# modified      : Timestamp when the STIX indicator object was last modified or updated.
# name          : Human-readable label describing the threat activity associated with the indicator.

# Timestamp Format:
# All timestamps follow the format: YYYY-MM-DD HH:MM:SS (UTC unless otherwise specified).

# Indicator Type:
# Most indicators in this dataset represent IPv4 addresses associated with brute-force attacks
# such as SSH or NTP service scanning.

# Data Origin:
# Converted from STIX 2.x objects into CSV format for easier querying, analytics, and SIEM ingestion.

# Note:
# Duplicate indicators may exist if the same observable was reported at different times or associated
# with different STIX objects.


"id","indicator_id","indicator","valid_from","created","modified","name"
"64178365","indicator--df075afe-29b6-4435-a42d-6dbeaf856ed7","106.12.82.22","2020-08-17 20:08:22","2020-08-18 04:08:22","2020-08-18 04:08:22","SSH Bruteforce Host"
"64178656","indicator--ed72dcc4-d3c5-4cfd-a9ef-51c129d69fa2","2.95.151.216","2020-08-18 15:10:52","2020-08-18 23:10:52","2020-08-18 23:10:52","SSH Bruteforce Host"
"64178844","indicator--4427d0e7-5b3b-4145-8ff4-563fc4286a14","2.35.184.83","2020-08-19 20:56:08","2020-08-20 04:56:08","2020-08-20 04:56:08","SSH Bruteforce Host"
"64178881","indicator--da319ede-83e0-40cf-9301-b5533b873c14","51.178.86.49","2020-08-19 20:56:08","2020-08-20 04:56:08","2020-08-20 04:56:08","SSH Bruteforce Host"
"64178977","indicator--97e03fd7-a50f-48c7-8e28-f4ba1f786323","2.36.136.146","2020-08-20 20:56:55","2020-08-21 04:56:55","2020-08-21 04:56:55","SSH Bruteforce Host"
"64179060","indicator--15cfb3d4-dd22-4461-b394-86852f19f979","2.139.209.78","2020-08-20 20:56:55","2020-08-21 04:56:55","2020-08-21 04:56:55","SSH Bruteforce Host"
"64179037","indicator--011d46a9-9566-4480-9363-f690cae69e54","2.224.168.43","2020-08-20 20:56:55","2020-08-21 04:56:55","2020-08-21 04:56:55","SSH Bruteforce Host"
"64179124","indicator--f03085bc-ec07-4a27-9cc2-57ecde569735","5.135.186.52","2020-08-20 20:56:55","2020-08-21 04:56:55","2020-08-21 04:56:55","SSH Bruteforce Host"
"64179376","indicator--37925cbd-9424-4aa5-9f8c-1fd203d5d6ce","1.6.182.220","2020-08-21 20:57:11","2020-08-22 04:57:11","2020-08-22 04:57:11","SSH Bruteforce Host"
"64179325","indicator--cd520e75-5e42-40e0-b2fc-63c8cd9fbaf2","1.179.137.10","2020-08-21 20:57:11","2020-08-22 04:57:11","2020-08-22 04:57:11","SSH Bruteforce Host"
"64179388","indicator--c121c7c3-4d00-4e16-b34e-64e92403567f","106.54.1.58","2020-08-21 20:57:11","2020-08-22 04:57:11","2020-08-22 04:57:11","SSH Bruteforce Host"
"64179460","indicator--b8c8f41d-b43a-4109-a3cb-2432a7cf85e7","5.196.7.133","2020-08-22 10:59:01","2020-08-22 18:59:01","2020-08-22 18:59:01","SSH Bruteforce Host"
"64179560","indicator--b0b22a1f-b7a2-4572-828b-f4ac8aa188da","8.211.45.4","2020-08-22 10:59:01","2020-08-22 18:59:01","2020-08-22 18:59:01","SSH Bruteforce Host"
"64170387","indicator--fbe1d47a-9faf-49b3-8253-43e8a25cb0d5","218.92.0.192","2020-08-22 10:59:01","2020-08-22 18:59:01","2020-08-22 18:59:01","SSH Bruteforce Host"
"64179677","indicator--78b26e34-a404-406f-b01c-08393da9a2eb","95.85.24.147","2020-08-23 20:57:37","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
"64177051","indicator--bf74aa0a-dcc7-4557-ab27-a692fbea3646","46.39.20.4","2020-08-23 20:57:37","2020-08-24 04:57:37","2020-08-24 04:57:37","SSH Bruteforce Host"
